"name","gender"
"BUNDI Gion Andrea","Men"
"KOUTANIEMI Mikko","Men"
"HETLAND Tor Arne","Men"
"NOECKLER Dietmar","Men"
"MORANDINI Nicola","Men"
"DEBERTOLIS Bruno","Men"
"RIGONI Mirko","Men"
"ZATTONI Andrea","Men"
"SCHWIENBACHER Freddy","Men"
"RIGONI Sergio","Men"
"MARTINELLI Alan","Men"
"MOCK Andrew","Men"
"TUMUR Dorjgotov","Men"
"GOERING Franz","Men"
"ARTEEV Ivan","Men"
"HONDA Shohei","Men"
"HOFSTAD Tore Ruud","Men"
"CARRARA Bruno","Men"
"SEIFFERT Stefan","Men"
"SEIFERT Benjamin","Men"
"CLEMENTI Fabrizio","Men"
"YEUILLA Daniel","Men"
"MASHKOV Ilya","Men"
"KHOKHRYAKOV Nikolay","Men"
"TOKAREV Vladimir","Men"
"TCHERNOUSOV Alexey","Men"
"PARTSCHEVSKI Nikolai","Men"
"YURKOV Sergey","Men"
"LENSKI Vladimir","Men"
"NOVICHIKHIN Mikhail","Men"
"USACHEV Igor","Men"
"ALYPOV Ivan","Men"
"VIROLAINEN Roman","Men"
"DVOSKIN Alexey","Men"
"STUPAK Nikita","Men"
"HIMMA Martti","Men"
"PRIKS Morten","Men"
"IVANOV Ivan","Men"
"VALLIMAE Janek","Men"
"RANKEL Raido","Men"
"LIEPINS Arvis","Men"
"EGAN Cameron","Men"
"TOUCHETTE Frederic","Men"
"BLACKHORSE VON JESS Dakota","Men"
"PLETCHER Reid","Men"
"STEPHEN Terrell","Men"
"NURY Julien","Men"
"BRASSARD Charles","Men"
"WERRELL Christopher","Men"
"HAUGEN Anders Eirik","Men"
"VALJAS Len","Men"
"CHAUVET Benoit","Men"
"OSGOOD Brayton","Men"
"NORDBY Sindre Wiig","Men"
"BRODAR Nejc","Men"
"DEMENTIEV Eugeniy","Men"
"OSIPOV Aleksandr","Men"
"KUPILIK Vaclav","Men"
"GRAF Urs","Men"
"PRALONG Charles","Men"
"FURRER Philip","Men"
"BADER Markus","Men"
"PERRILLAT BOITEUX Ivan","Men"
"WIBAULT Mathias","Men"
"POIRRIER Bastien","Men"
"GRIDIN Andrey","Men"
"DUFOURD Benoit-Gilles","Men"
"MOUGEL Adrien","Men"
"SOUBEYRAND Yann","Men"
"OESTBERG Fredrik","Men"
"LARSSON Martin","Men"
"RIIHIVUORI Tomi-Pekka","Men"
"NAERVAEINEN Toni","Men"
"VERKAMA Ville","Men"
"POLLARI Jussi-Pekka","Men"
"GUMENYAK Mikhail","Men"
"KARLSSON Fredrik","Men"
"OJALA Mikael","Men"
"LOEFSTROEM Haakan","Men"
"HAMMARBERG Gunnar","Men"
"NORBERG Mikael","Men"
"NORUM Robin","Men"
"SKJELDAL Kristen","Men"
"FIORENTINI Marco","Men"
"ODNODVORTSEV Maxim","Men"
"TICHKINE Dmitri","Men"
"HELGESTAD Daniel","Men"
"AARDAL Asgeir","Men"
"OESTLIEN Espen","Men"
"BJERTNAES Jens","Men"
"BUENGER Troels","Men"
"STEBLER Christian","Men"
"FLINKFAELDT David","Men"
"POERSTI Markus","Men"
"KURUNMAEKI Veli Pekka","Men"
"JONSSON Joakim","Men"
"BERGLUND Gustaf","Men"
"DOMEIJ Andreas","Men"
"STOEGGL Thomas","Men"
"GYLLROTH Emil","Men"
"UUSITALO Fredrik","Men"
"ENGSTROEM Joakim","Men"
"OESTBERG Mikael","Men"
"HASLER Markus","Men"
"BOCHERT Kay","Men"
"OGLAGO Sebahattin","Men"
"GUTIERREZ Javier","Men"
"KALNUPS Aigars","Men"
"KEMERS Sandis","Men"
"MARTSYV Vitaly","Men"
"JEFFRIES Chris","Men"
"VIOLETT Zachary","Men"
"SIMONS Zack","Men"
"GREENE Marshall","Men"
"WINTER Jesse","Men"
"NEUMANN Pate","Men"
"CHAMBERLAIN David","Men"
"SANDAU Kevin","Men"
"OSINKIN Dmitriy","Men"
"ANTAL Zsolt","Men"
"CHEKALKIN Roman","Men"
"KURITSYN Aleksei","Men"
"SMIRNOV Anton","Men"
"IONENKOW Alexandr","Men"
"EBISAWA Katsuhito","Men"
"KYLMAELAE Matti","Men"
"NEVALAINEN Petri","Men"
"YAMAGISHI Osamu","Men"
"BREDL Johannes","Men"
"FANJAS CLARET Sylvain","Men"
"METZE Robert","Men"
"ESTIL Frode","Men"
"BOTVINOV Mikhail","Men"
"KARLSSON Niklas","Men"
"PYYKOENEN Lauri","Men"
"GRIP Rikard","Men"
"PERSSON Fredrik","Men"
"TRONDSEN Krister","Men"
"MYHLBACK Petter","Men"
"EGOSHIN Dmitriy","Men"
"BRINK Joergen","Men"
"ELVESTAD Glenn","Men"
"BAKKEJORD Erik","Men"
"BERGHEIM Bjoern","Men"
"SCHJELLERUD Tor Erik","Men"
"KVEEN Stig Rune","Men"
"GRANMO Jan Gisle","Men"
"BLOMQVIST Robert","Men"
"BAECK Juha","Men"
"JURCEVIC Damir","Men"
"GELIANG Li","Men"
"FREI Thomas","Men"
"SCHNIDER Christoph","Men"
"JOHNSON Andrew","Men"
"HEER Joel","Men"
"HAUSER Michael","Men"
"BECK Matthias","Men"
"RATTI Rafael","Men"
"KIRCHNER Stefan","Men"
"NEHAEV Vasiliy","Men"
"SCHLYUNDIKOV Andrey","Men"
"NOUTRIKHINE Andrei","Men"
"SEMENOV Michail","Men"
"LIASHENKO Dmitrij","Men"
"IVANOV Mikhail","Men"
"REVIN Victor","Men"
"LUKJANOV Evgeniy","Men"
"KOROSTELJEV Pavel","Men"
"CHAUVET Pierre","Men"
"VANDEL Romain","Men"
"OLLE Raul","Men"
"ORLANDI Luca","Men"
"ZORTEA Agostino","Men"
"CHIODA Daniele","Men"
"LEMMETYINEN Tero","Men"
"TAIPALE Kuisma","Men"
"MORKO Juha","Men"
"HOEGBERG Anders","Men"
"MYHR Magnus","Men"
"RATH Tobias","Men"
"OTCENAS Martin","Men"
"EBERHARTER Michael","Men"
"ABRAMOVIC Alen","Men"
"SCHLUETTER Andreas","Men"
